benchmark,official_learned_policy,official_router_name,accuracy,avg_cost,p95_latency,utility,strongest_fixed_policy,strongest_fixed_utility,aggregate_policy,aggregate_utility,cost_reduction_vs_strongest_fixed,accuracy_drop_vs_strongest_fixed,beats_strongest_fixed,beats_aggregate_baseline
gsm8k,phase2_logreg_joint,logreg_joint,0.95,0.0001863801499999,7.401475074977499,0.8010385977504505,fixed_model_budget_qwen3.5-flash-2026-02-23_0,0.7574553717509297,aggregate_utility_qwen3-max-2026-01-23_256,0.7551075430002337,0.2553085394722537,0.050000000000000044,True,True
math500,phase2_logreg_joint,logreg_joint,0.25,0.0001545638499999,18.25153026000064,-0.1158034244500123,fixed_model_budget_qwen3-max-2026-01-23_0,-0.09052107289996186,aggregate_utility_qwen3-max-2026-01-23_0,-0.09052107289996186,0.7362391638226512,0.04999999999999999,False,False
humaneval,phase2_logreg_joint,logreg_joint,0.6,0.0003774767499999,19.02636738000074,0.21758526864998567,fixed_model_budget_qwen3-max-2026-01-23_0,0.8814560195999982,aggregate_utility_qwen3-max-2026-01-23_0,0.8814560195999982,0.6156041242363545,0.4,False,False
